mes_ano	indice	indice_acumulado_ano	indice_acumulado_12meses	indice_acumulado_jan_93
Ago/2020	2.74	9.64	13.0200	1907.6163
Jul/2020	2.23	6.71	9.2700	1907.6163
Jun/2020	1.56	4.3892	7.3133	1907.6163
Mai/2020	0.28	2.7857	6.5103	1878.3146
Abr/2020	0.80	2.4987	6.6908	1873.0700
Mar/2020	1.24	1.6853	6.8178	1858.2044
Fev/2020	-0.04	0.4398	6.8389	1835.4448
Jan/2020	0.48	0.4800	7.8223	1836.1792
Dez/2019	2.09	7.3179	7.3179	1827.4077
Nov/2019	0.30	5.1209	3.9856	1789.9968
Out/2019	0.68	4.8065	3.1665	1784.6429
Set/2019	-0.01	4.0986	3.3817	1772.5893
Ago/2019	-0.67	4.1090	4.9636	1772.7666
Jul/2019	0.40	4.8112	6.4113	1784.7243
Jun/2019	0.80	4.3937	6.5279	1777.6138
Mai/2019	0.45	3.5651	7.6587	1763.5058
Abr/2019	0.92	3.1012	8.6555	1755.6056
Mar/2019	1.26	2.1613	8.2786	1739.6013
Fev/2019	0.88	0.8900	7.6157	1717.9551
Jan/2019	0.01	0.0100	6.7516	1702.9690
Dez/2018	-1.08	7.5521	7.5521	1702.7987
Nov/2018	-0.49	8.7264	9.6940	1721.3897
Out/2018	0.89	9.2618	10.8074	1729.8660
Set/2018	1.52	8.2979	10.0496	1714.6060
Ago/2018	0.70	6.6764	8.9114	1688.9342
Jul/2018	0.51	5.9349	8.2624	1677.1938
Jun/2018	1.87	5.3974	6.9376	1668.6835
Mai/2018	1.38	3.4626	4.2712	1638.0519
Abr/2018	0.57	2.0542	1.8953	1615.7545
Mar/2018	0.64	1.4758	0.2033	1606.5969
Fev/2018	0.07	0.8305	-0.4239	1596.3801
Jan/2018	0.76	0.7600	-0.4140	1595.2634
Dez/2017	0.89	-0.5326	-0.5326	1583.2308
Nov/2017	0.52	-1.4100	-0.8777	1569.2643
Out/2017	0.20	-1.9201	-1.4200	1561.1463
Set/2017	0.47	-2.1158	-1.4594	1558.0302
Ago/2017	0.10	-2.5737	-1.7242	1550.7417
Jul/2017	-0.72	-2.6711	-1.6751	1549.1925
Jun/2017	-0.67	-1.9652	-0.7837	1560.4276
Mai/2017	-0.93	-1.3039	1.5736	1570.9530
Abr/2017	-1.10	-0.3775	3.3678	1585.7000
Mar/2017	0.01	0.7306	4.8624	1603.3367
Fev/2017	0.08	0.7205	5.3866	1603.1764
Jan/2017	0.64	0.6400	6.6608	1601.8949
Dez/2016	0.54	7.1907	7.1907	1591.7080
Nov/2016	-0.03	6.6150	7.1374	1583.1589
Out/2016	0.16	6.6470	8.7985	1583.6340
Set/2016	0.20	6.4766	10.6777	1581.1042
Ago/2016	0.15	6.2641	11.5062	1577.9483
Jul/2016	0.18	6.1049	11.6509	1575.5850
Jun/2016	1.69	5.9143	12.2193	1572.7540
Mai/2016	0.82	4.1541	11.0937	1546.6162
Abr/2016	0.33	3.3070	10.6419	1534.0371
Mar/2016	0.51	2.9672	11.5682	1528.9914
Fev/2016	1.29	2.4447	12.0900	1521.2331
Jan/2016	1.14	1.1400	10.9612	1501.8591
Dez/2015	0.49	10.5443	10.5443	1484.9309
Nov/2015	1.52	10.0053	10.6873	1477.6902
Out/2015	1.89	8.3582	10.0985	1455.5657
Set/2015	0.95	6.3482	8.3588	1428.5658
Ago/2015	0.28	5.3474	7.5538	1415.1222
Jul/2015	0.69	5.0533	6.9639	1411.1709
Jun/2015	0.67	4.3334	5.5829	1401.5005
Mai/2015	0.41	3.6390	4.1041	1392.1730
Abr/2015	1.17	3.2158	3.5442	1386.4884
Mar/2015	0.98	2.0222	3.1450	1370.4541
Fev/2015	0.27	1.0321	3.8499	1357.1540
Jan/2015	0.76	0.7600	3.9638	1353.4995
Dez/2014	0.62	3.6749	3.6749	1343.2905
Nov/2014	0.98	3.0361	3.6543	1335.0134
Out/2014	0.28	2.0361	2.9460	1322.0573
Set/2014	0.20	1.7512	3.5414	1318.3658
Ago/2014	-0.27	1.5481	4.8848	1315.7344
Jul/2014	-0.61	1.8230	5.3265	1319.2965
Jun/2014	-0.74	2.4480	6.2484	1327.3936
Mai/2014	-0.13	3.2117	7.8434	1337.2895
Abr/2014	0.78	3.3461	7.9837	1339.0302
Mar/2014	1.67	2.5462	7.3087	1328.6666
Fev/2014	0.38	0.8618	5.7677	1306.8424
Jan/2014	0.48	0.4800	5.6729	1301.8952
Dez/2013	0.60	5.5257	5.5257	1295.6759
Nov/2013	0.29	4.8963	5.6096	1287.9482
Out/2013	0.86	4.5930	5.2726	1284.2240
Set/2013	1.50	3.7011	4.3959	1273.2738
Ago/2013	0.15	2.1686	3.8507	1254.4570
Jul/2013	0.26	2.0156	5.1780	1252.5781
Jun/2013	0.75	1.7510	6.3110	1249.3299
Mai/2013	0.00	0.9936	6.2160	1240.0296
Abr/2013	0.15	0.9936	7.2994	1240.0296
Mar/2013	0.21	0.8423	8.0494	1238.1724
Fev/2013	0.29	0.6310	8.2866	1235.5777
Jan/2013	0.34	0.3400	7.9087	1232.0049
Dez/2012	0.68	7.8119	7.8119	1227.8302
Nov/2012	-0.03	7.0838	6.9553	1219.5374
Out/2012	0.02	7.1158	7.5222	1219.9033
Set/2012	0.97	7.0945	8.0705	1219.6594
Ago/2012	1.43	6.0656	7.7280	1207.9424
Jul/2012	1.34	4.5703	6.6766	1190.9123
Jun/2012	0.66	3.1876	5.1397	1175.1651
Mai/2012	1.02	2.5110	4.2623	1167.4599
Abr/2012	0.85	1.4759	3.6534	1155.6720
Mar/2012	0.43	0.6207	3.2422	1145.9316
Fev/2012	-0.06	0.1899	3.4376	1141.0252
Jan/2012	0.25	0.2500	4.5347	1141.7102
Dez/2011	-0.12	5.0977	5.0977	1138.8631
Nov/2011	0.50	5.2240	5.9501	1140.2313
Out/2011	0.53	4.7005	6.9516	1134.5586
Set/2011	0.65	4.1485	7.4622	1128.5771
Ago/2011	0.44	3.4759	7.9961	1121.2887
Jul/2011	-0.12	3.0226	8.3509	1116.3767
Jun/2011	-0.18	3.1464	8.6438	1117.7179
Mai/2011	0.43	3.3324	9.7649	1119.7334
Abr/2011	0.45	2.8900	10.5955	1114.9392
Mar/2011	0.62	2.4290	10.9478	1109.9445
Fev/2011	1.00	1.7979	11.3007	1103.1052
Jan/2011	0.79	0.7900	11.4990	1092.1834
Dez/2010	0.69	11.3220	11.3220	1083.6227
Nov/2010	1.45	10.5592	10.2717	1076.1970
Out/2010	1.01	8.9790	8.8043	1060.8152
Set/2010	1.15	7.8893	7.7702	1050.2081
Ago/2010	0.77	6.6627	6.9925	1038.2680
Jul/2010	0.15	5.8476	5.7927	1030.3344
Jun/2010	0.85	5.6891	5.1800	1028.7912
Mai/2010	1.19	4.7983	4.1892	1020.1202
Abr/2010	0.77	3.5659	2.8919	1008.1235
Mar/2010	0.94	2.7745	1.9525	1000.4203
Fev/2010	1.18	1.8174	0.2556	991.1039
Jan/2010	0.63	0.6300	-0.6559	979.5453
Dez/2009	-0.26	-1.7123	-1.7123	973.4128
Nov/2009	0.10	-1.4561	-1.5842	975.9503
Out/2009	0.05	-1.5545	-1.3089	974.9753
Set/2009	0.42	-1.6037	-0.3915	974.4880
Ago/2009	-0.36	-2.0152	-0.6990	970.4123
Jul/2009	-0.43	-1.6612	-0.6591	973.9183
Jun/2009	-0.10	-1.2365	1.5258	978.1243
Mai/2009	-0.07	-1.1377	3.6397	979.1034
Abr/2009	-0.15	-1.0684	5.3820	979.7893
Mar/2009	-0.74	-0.9198	6.2686	981.2612
Fev/2009	0.26	-0.1811	7.8531	988.5767
Jan/2009	-0.44	-0.4400	8.1435	986.0130
Dez/2008	-0.13	9.8054	9.8054	990.3707
Nov/2008	0.38	9.9484	11.8835	991.6598
Out/2008	0.98	9.5321	12.2290	987.9058
Set/2008	0.11	8.4691	12.3068	978.3183
Ago/2008	-0.32	8.3500	13.6305	977.2433
Jul/2008	1.76	8.6978	15.1125	980.3805
Jun/2008	1.98	6.8178	13.4383	963.4242
Mai/2008	1.61	4.7439	11.5250	944.7188
Abr/2008	0.69	3.0842	9.8017	929.7498
Mar/2008	0.74	2.3778	9.0930	923.3785
Fev/2008	0.53	1.6258	8.6598	916.5957
Jan/2008	1.09	1.0900	8.3788	911.7634
Dez/2007	1.76	7.7463	7.7463	901.9323
Nov/2007	0.69	5.8827	6.2215	886.3328
Out/2007	1.05	5.1572	6.2849	880.2591
Set/2007	1.29	4.0645	5.6748	871.1124
Ago/2007	0.98	2.7391	4.6315	860.0181
Jul/2007	0.28	1.7421	3.9995	851.6718
Jun/2007	0.26	1.4580	3.8958	849.2937
Mai/2007	0.04	1.1949	4.4035	847.0913
Abr/2007	0.04	1.1544	4.7583	846.7526
Mar/2007	0.34	1.1140	4.2767	846.4140
Fev/2007	0.27	0.7713	3.6843	843.5460
Jan/2007	0.50	0.5000	3.4154	841.2745
Dez/2006	0.32	3.8476	3.8476	837.0891
Nov/2006	0.75	3.5164	3.5060	834.4189
Out/2006	0.47	2.7458	3.1464	828.2074
Set/2006	0.29	2.2651	3.2799	824.3330
Ago/2006	0.37	1.9694	2.4355	821.9494
Jul/2006	0.18	1.5935	1.3945	818.9194
Jun/2006	0.75	1.4110	0.8682	817.4480
Mai/2006	0.38	0.6561	-0.3232	811.3627
Abri/2006	-0.42	0.2750	-0.9190	808.2912
Mar/2006	-0.23	0.6980	0.3546	811.7004
Fev/2006	0.01	0.9301	1.4409	813.5716
Jan/2006	0.92	0.9200	1.7350	813.4902
Dez/2005	-0.01	1.2008	1.2008	806.0744
Nov/2005	0.40	1.2109	1.9598	806.1550
Out/2005	0.60	0.8077	2.3864	802.9432
Set/2005	-0.53	0.2064	2.1726	798.1543
Ago/2005	-0.65	0.7403	3.4258	802.4070
Jul/2005	-0.34	1.3994	5.3725	807.6568
Jun/2005	-0.44	1.7454	7.1171	810.4122
Mai/2005	-0.22	2.1950	9.0752	813.9938
Abri/2005	0.86	2.4203	10.7478	815.7885
Mar/2005	0.85	1.5470	11.1321	808.8326
Fev/2005	0.30	0.6912	11.4406	802.0154
Jan/2005	0.39	0.3900	11.8739	799.6166
Dez/2004	0.74	12.4200	12.4200	796.5102
Nov/2004	0.82	11.5942	12.2749	790.6593
Out/2004	0.39	10.6866	11.9074	784.2286
Set/2004	0.69	10.2566	11.8963	781.1820
Ago/2004	1.22	9.5010	12.4408	775.8288
Jul/2004	1.31	8.1812	11.5077	766.4778
Jun/2004	1.38	6.7823	9.6036	756.5667
Mai/2004	1.31	5.3288	7.0305	746.2682
Abri/2004	1.21	3.9668	5.3718	736.6185
Mar/2004	1.13	2.7239	5.0699	727.8120
Fev/2004	0.69	1.5761	5.4855	719.6796
Jan/2004	0.88	0.8800	7.1512	714.7479